price,area,bedrooms,bathrooms,balcony,status,neworold,parking,furnished_status,lift,type_of_building,price_sqft,city
17000000,2150,3,3,2,Ready to Move,New Property,,,1,Flat,7906.976744,Gurgaon
14200000,1850,3,3,3,Ready to Move,Resale,2,,2,Flat,7675.675676,New Delhi
5500000,1200,3,2,2,Ready to Move,Resale,,Unfurnished,,Flat,4583.333333,New Delhi
3400000,600,2,2,1,Ready to Move,New Property,,Semi-Furnished,,Flat,5666.666667,New Delhi
7200000,1250,3,2,2,Ready to Move,Resale,,Semi-Furnished,,Flat,5760,New Delhi
8700000,1450,3,3,3,Ready to Move,Resale,2,,10,Flat,6000,Gurgaon
9200000,1420,2,2,3,Ready to Move,Resale,,,,Flat,6478.873239,Gurgaon
3800000,1005,2,2,1,Ready to Move,Resale,2,,3,Flat,3781.094527,Greater Noida
42500000,4500,3,5,4,Ready to Move,Resale,2,Semi-Furnished,3,Flat,9444.444444,Gurgaon
6500000,1620,3,3,3,Ready to Move,Resale,,Unfurnished,,Flat,4012.345679,Greater Noida
7650000,1168,3,2,3,Ready to Move,New Property,,,,Flat,6549.657534,Ghaziabad
4500000,1107,2,2,4,Ready to Move,Resale,,,,Individual House,4065.04065,Noida
8500000,1510,3,3,2,Ready to Move,New Property,,,,Flat,5629.139073,Greater Noida
23500000,1800,4,3,2,Ready to Move,New Property,2,Semi-Furnished,1,Individual House,13055.55556,New Delhi
4500000,955,2,2,,,Resale,,Furnished,,Flat,4712.041885,Greater Noida
6280000,1500,3,3,,Ready to Move,Resale,,Semi-Furnished,,Flat,4186.666667,Noida
13900000,2060,3,3,2,Ready to Move,New Property,,Semi-Furnished,,Flat,6747.572816,Gurgaon
8200000,1550,3,3,5,Ready to Move,Resale,1,,2,Flat,5290.322581,Noida
13100000,1200,2,2,,Ready to Move,Resale,,Furnished,,Flat,10916.66667,New Delhi
10000000,1250,2,2,3,Ready to Move,Resale,,,,Flat,8000,Gurgaon
6500000,1050,2,2,3,Ready to Move,Resale,,,,Flat,6190.47619,Gurgaon
4500000,1055,2,2,2,Ready to Move,Resale,1,Unfurnished,,Flat,4265.402844,Noida
14500000,2000,3,4,2,Ready to Move,Resale,,,,Individual House,7250,Gurgaon
4000000,510,2,2,2,Ready to Move,New Property,,Semi-Furnished,,Flat,7843.137255,New Delhi
42500000,5500,6,7,,Ready to Move,New Property,5,Furnished,,Flat,7727.272727,Noida
20000000,2237,3,3,3,Ready to Move,New Property,2,,3,Individual House,8940.545373,Gurgaon
3100000,975,2,2,3,Ready to Move,Resale,1,,3,Flat,3179.487179,Greater Noida
4800000,1245,3,2,4,Ready to Move,New Property,1,,,Flat,3855.421687,Greater Noida
6700000,1250,3,3,2,Ready to Move,Resale,2,,1,Flat,5360,Faridabad
12500000,2320,3,3,,,Resale,,Semi-Furnished,,Flat,5387.931034,Gurgaon
27000000,2200,4,4,2,Ready to Move,Resale,,Unfurnished,,Flat,12272.72727,New Delhi
11500000,2300,3,4,,Ready to Move,Resale,1,,2,Flat,5000,Gurgaon
9000000,1730,4,3,3,Ready to Move,Resale,1,Furnished,,Flat,5202.312139,Noida
4500000,1250,3,3,3,Ready to Move,Resale,,Semi-Furnished,,Flat,3600,Ghaziabad
2990000,840,2,2,,Ready to Move,Resale,,Semi-Furnished,,Flat,3559.52381,Ghaziabad
6200000,1300,3,3,3,Ready to Move,Resale,,,,Flat,4769.230769,Noida
9500000,2184,4,4,4,Ready to Move,Resale,1,,2,Individual House,4349.81685,Faridabad
14500000,2050,3,3,,,Resale,2,Unfurnished,,Flat,7073.170732,Gurgaon
12500000,1650,3,3,2,Ready to Move,New Property,,Furnished,,Individual House,7575.757576,Gurgaon
7500000,1495,3,2,3,Ready to Move,Resale,,,,Flat,5016.722408,Noida
12000000,1730,3,3,2,Ready to Move,Resale,,,,Flat,6936.416185,Noida
5500000,1100,3,3,1,Ready to Move,Resale,,Unfurnished,,Flat,5000,New Delhi
4300000,1250,3,2,1,Ready to Move,Resale,1,Furnished,,Individual House,3440,Ghaziabad
4800000,1050,2,2,2,Ready to Move,Resale,1,,,Individual House,4571.428571,Noida
15000000,1350,3,3,2,Ready to Move,Resale,1,,,Flat,11111.11111,New Delhi
13000000,2275,4,4,4,Ready to Move,New Property,1,,2,Flat,5714.285714,Noida
6500000,1150,2,3,3,Ready to Move,Resale,1,,4,Flat,5652.173913,Noida
15000000,2250,4,4,2,Ready to Move,Resale,2,,1,Flat,6666.666667,Gurgaon
3150000,1050,2,2,2,Ready to Move,Resale,,,,Flat,3000,Ghaziabad
12500000,2120,3,3,3,Ready to Move,Resale,,Unfurnished,,Flat,5896.226415,Gurgaon
4100000,1185,4,2,,,Resale,,Semi-Furnished,,Flat,3459.915612,Greater Noida
36000000,3700,6,6,4,Ready to Move,Resale,2,Semi-Furnished,,Flat,9729.72973,Faridabad
5100000,1050,3,2,2,Ready to Move,Resale,1,,2,Flat,4857.142857,Gurgaon
4500000,800,2,2,2,Ready to Move,Resale,,Unfurnished,,Flat,5625,New Delhi
13400000,1755,2,3,2,Ready to Move,Resale,2,,2,Flat,7635.327635,Gurgaon
11000000,1800,4,2,1,Ready to Move,Resale,2,Semi-Furnished,,Flat,6111.111111,Faridabad
5250000,1535,3,3,2,Ready to Move,Resale,1,,4,Flat,3420.19544,Noida
14500000,2324,4,5,4,Ready to Move,Resale,,,,Flat,6239.242685,Gurgaon
3200000,750,2,2,1,Ready to Move,Resale,1,Unfurnished,,Flat,4266.666667,New Delhi
9600000,1760,3,4,3,Ready to Move,Resale,2,,1,Flat,5454.545455,Gurgaon
10000000,1765,3,3,3,Ready to Move,Resale,,,,Flat,5665.72238,Gurgaon
4850000,1090,3,2,2,Ready to Move,Resale,,Unfurnished,,Flat,4449.541284,New Delhi
8500000,1695,3,4,5,Ready to Move,Resale,1,Semi-Furnished,3,Flat,5014.749263,Greater Noida
9800000,1437,3,3,1,Ready to Move,Resale,,,,Flat,6819.763396,Gurgaon
6500000,1295,3,2,3,Ready to Move,Resale,1,,2,Individual House,5019.305019,Noida
6700000,1277,2,2,3,Ready to Move,Resale,1,,3,Flat,5246.671887,Noida
11000000,1500,3,3,2,,Resale,1,Semi-Furnished,1,Individual House,7333.333333,Gurgaon
6000000,950,2,2,1,Ready to Move,Resale,,Furnished,,Flat,6315.789474,New Delhi
18000000,2200,3,2,4,Ready to Move,Resale,,Unfurnished,2,Individual House,8181.818182,New Delhi
8000000,2000,3,3,,Ready to Move,Resale,1,Unfurnished,,Flat,4000,Greater Noida
7500000,1408,2,2,2,Ready to Move,Resale,1,,2,Individual House,5326.704545,Gurgaon
4100000,1035,2,2,1,Ready to Move,Resale,,,,Flat,3961.352657,Greater Noida
