price,area,bedrooms,bathrooms,balcony,status,neworold,parking,furnished_status,lift,type_of_building,price_sqft,city
4800000,930,2,2,,Ready to Move,Resale,,,,Flat,5161.290323,Noida
2800000,955,2,2,,Ready to Move,Resale,,,,Flat,2931.937173,Ghaziabad
4400000,1165,2,2,3.0,Ready to Move,Resale,,,,Individual House,3776.824034,Faridabad
13000000,2500,9,5,2.0,Ready to Move,Resale,,Semi-Furnished,,Flat,5200.0,Faridabad
17500000,2345,6,6,2.0,Ready to Move,Resale,,Unfurnished,,Individual House,7462.686567,Faridabad
13500000,2268,4,4,3.0,,Resale,,Semi-Furnished,,Flat,5952.380952,Gurgaon
4000000,910,2,2,3.0,Ready to Move,Resale,1.0,Furnished,,Flat,4395.604396,Greater Noida
9000000,1700,3,2,3.0,Ready to Move,Resale,1.0,Semi-Furnished,,Individual House,5294.117647,Ghaziabad
2700000,850,2,2,1.0,Ready to Move,Resale,,Semi-Furnished,,Flat,3176.470588,Ghaziabad
10000000,1430,3,2,,Ready to Move,Resale,,,,Individual House,6993.006993,Gurgaon
4300000,810,2,2,1.0,Ready to Move,New Property,,Semi-Furnished,,Individual House,5308.641975,Ghaziabad
11000000,2245,4,3,,Ready to Move,Resale,,,,Individual House,4899.777283,Ghaziabad
4500000,1000,3,2,,Ready to Move,Resale,,Semi-Furnished,,Individual House,4500.0,Ghaziabad
2900000,830,3,2,2.0,Ready to Move,Resale,1.0,,0.0,Flat,3493.975904,New Delhi
6800000,1650,3,3,,Ready to Move,Resale,,Unfurnished,,Flat,4121.212121,Greater Noida
12000000,2275,4,4,4.0,Ready to Move,Resale,2.0,,3.0,Flat,5274.725275,Noida
9000000,1095,2,2,,Ready to Move,Resale,,,,Flat,8219.178082,Gurgaon
6800000,1356,3,2,4.0,Ready to Move,Resale,,,,Flat,5014.749263,Noida
12900000,2150,3,3,4.0,,New Property,1.0,Semi-Furnished,3.0,Individual House,6000.0,Gurgaon
10800000,1893,2,2,,Ready to Move,Resale,,,,Flat,5705.229794,Gurgaon
3200000,594,2,2,1.0,Ready to Move,Resale,1.0,Semi-Furnished,,Flat,5387.205387,New Delhi
2600000,885,2,2,3.0,Ready to Move,Resale,1.0,,2.0,Flat,2937.853107,Ghaziabad
